yumeng@gmail.com,Yumeng,Ren,Data200,90,A
student142@university.edu,Michael,White,CS106,B,90.6
student143@university.edu,Matthew,Bennett,CS106,D,66.1
student144@university.edu,Charles,Green,CS106,B,87.3
student145@university.edu,Gabriel,Howard,CS106,C,76.5
student146@university.edu,Noah,Ford,CS106,F,58.5
student147@university.edu,Asher,Smith,CS107,A,94.6
student148@university.edu,Isaiah,Coleman,CS107,C,84.0
student149@university.edu,David,Baker,CS107,D,67.9
student150@university.edu,Thomas,Allen,CS107,B,92.4
student151@university.edu,Logan,Allen,CS107,D,64.2
student152@university.edu,Sofia,Johnson,CS107,F,59.9
student153@university.edu,Violet,Watson,CS107,C,78.0
student154@university.edu,Leo,Cooper,CS107,B,91.0
student155@university.edu,Elizabeth,Dixon,CS107,C,76.7
student156@university.edu,Olivia,Parker,CS107,A,96.9
student157@university.edu,Lucas,Chapman,CS107,D,68.7
student158@university.edu,James,Carter,CS107,F,58.5
student159@university.edu,Victoria,Coleman,CS107,B,91.1
student160@university.edu,Alexander,Martin,CS107,C,81.7
student161@university.edu,Noah,Foster,CS107,C,80.0
student162@university.edu,David,Campbell,CS107,D,65.0
student163@university.edu,Landon,Powell,CS107,D,60.4
student164@university.edu,Gabriel,Hughes,CS107,D,60.5
student165@university.edu,Violet,Hughes,CS107,C,75.7
student166@university.edu,William,Gray,CS107,F,56.9
student167@university.edu,Luke,Thomas,CS108,B,91.2
student168@university.edu,Paisley,Phillips,CS108,C,79.1
student169@university.edu,Connor,Garcia,CS108,B,85.8
student170@university.edu,Connor,Watson,CS108,B,90.3
student171@university.edu,Nora,Bennett,CS108,C,75.0
student172@university.edu,Wyatt,Davis,CS108,B,92.0
student173@university.edu,Landon,Howard,CS108,F,55.7
student174@university.edu,Audrey,Gomez,CS108,D,74.2
student175@university.edu,Sophia,Price,CS108,B,86.7
student176@university.edu,Sofia,Reed,CS108,C,76.0
student177@university.edu,Avery,Shaw,CS108,A,98.5
student178@university.edu,Mason,Allen,CS108,D,61.8
student179@university.edu,Wyatt,Morgan,CS108,C,80.4
student180@university.edu,Dylan,Torres,CS108,B,86.1
student181@university.edu,Eleanor,Thompson,CS108,C,75.2
student182@university.edu,Noah,Garcia,CS108,B,88.6
student183@university.edu,Skylar,Smith,CS108,D,74.6
student184@university.edu,Matthew,Thompson,CS108,C,80.1
student185@university.edu,Julian,Phillips,CS108,F,59.7
student186@university.edu,Thomas,Campbell,CS108,D,68.7
student187@university.edu,Anna,Wilson,CS108,D,63.1
student188@university.edu,Stella,Sullivan,CS109,B,92.5
student189@university.edu,Aiden,Wright,CS109,D,60.8
student190@university.edu,Lucas,Burns,CS109,A,97.0
student191@university.edu,Charles,Thompson,CS109,D,66.3
student192@university.edu,Elizabeth,Allen,CS109,A,94.4
student193@university.edu,Logan,Robinson,CS109,D,62.4
student194@university.edu,Elizabeth,Freeman,CS109,C,77.3
student195@university.edu,Gabriel,Taylor,CS109,C,75.6
student196@university.edu,Wyatt,Burns,CS109,C,82.5
student197@university.edu,Aiden,Sullivan,CS109,B,91.1
student198@university.edu,Stella,James,CS109,C,77.8
student199@university.edu,Alexa,Nelson,CS109,B,87.2
student200@university.edu,Henry,Jones,CS109,D,63.4
student201@university.edu,Charles,Thompson,CS109,A,96.9
student202@university.edu,Elizabeth,Flores,CS109,D,66.8
student203@university.edu,Caleb,Wright,CS109,D,68.3
student204@university.edu,Allison,Harris,CS109,A,96.2
student205@university.edu,Lincoln,Perry,CS109,D,70.5
student206@university.edu,Mason,Jones,CS109,D,61.1
student207@university.edu,Skylar,Carter,CS109,D,70.9
student208@university.edu,Matthew,Ross,CS109,D,60.0
student209@university.edu,Connor,Johnson,CS110,D,62.3
student210@university.edu,Carter,Sanchez,CS110,B,86.4
student211@university.edu,Claire,Bennett,CS110,F,59.6
student212@university.edu,Jack,Wilson,CS110,D,74.3
student213@university.edu,Henry,Diaz,CS110,A,93.9
student214@university.edu,James,Russell,CS110,D,66.0
student215@university.edu,Asher,Fox,CS110,D,62.7
student216@university.edu,Julian,Sullivan,CS110,C,81.3
student217@university.edu,Anna,Hughes,CS110,C,76.0
student218@university.edu,Riley,Powell,CS110,D,66.6
student219@university.edu,Jayden,Martin,CS110,D,66.9
student220@university.edu,Jonathan,Jackson,CS110,A,98.3
student221@university.edu,Savannah,James,CS110,C,78.7
student222@university.edu,Evelyn,Carter,CS110,B,88.9
student223@university.edu,Nathan,Brooks,CS110,D,70.1
student224@university.edu,William,Gonzalez,CS110,B,89.4
student225@university.edu,Eleanor,Taylor,CS110,A,94.1
student226@university.edu,Luke,King,CS110,C,76.1
student227@university.edu,Charles,Miller,CS110,B,92.2
student228@university.edu,Leo,Fox,CS110,C,77.0
student229@university.edu,Lillian,Edwards,CS110,D,62.9
student230@university.edu,Violet,Jones,CS110,D,68.3
student231@university.edu,Emily,Morgan,CS111,C,80.5
student232@university.edu,Savannah,Phillips,CS111,F,57.3
student233@university.edu,Emma,Freeman,CS111,C,84.9
student234@university.edu,Zoe,Sullivan,CS111,C,82.3
student235@university.edu,Emily,Jones,CS111,B,91.7
student236@university.edu,Henry,Sullivan,CS111,B,87.9
student237@university.edu,Aiden,Howard,CS111,D,62.1
student238@university.edu,Eleanor,Price,CS111,C,83.5
student239@university.edu,Asher,Davis,CS111,C,82.8
student240@university.edu,Savannah,Ward,CS111,B,87.3
student241@university.edu,Sofia,Bennett,CS111,B,88.5
student242@university.edu,Asher,Collins,CS111,A,96.8
student243@university.edu,Emily,White,CS111,F,56.6
student244@university.edu,Alexa,Patterson,CS111,F,55.2
student245@university.edu,Victoria,Miller,CS111,F,59.4
student246@university.edu,Hannah,Taylor,CS111,D,65.4
student247@university.edu,Daniel,Chapman,CS111,B,91.8
student248@university.edu,Isaac,Reynolds,CS111,B,89.9
student249@university.edu,Samuel,Fox,CS111,C,75.4
student250@university.edu,Carter,Diaz,CS111,C,80.9
student251@university.edu,Eleanor,Lewis,CS112,F,59.8
student252@university.edu,Penelope,Martinez,CS112,D,67.8
student253@university.edu,Logan,Wright,CS112,F,58.7
student254@university.edu,Benjamin,Moore,CS112,C,78.6
student255@university.edu,Natalie,Clark,CS112,D,72.5
student256@university.edu,Michael,Walker,CS112,C,78.4
student257@university.edu,Isabella,Edwards,CS112,F,57.0
student258@university.edu,Jack,Stewart,CS112,F,57.7
student259@university.edu,Zoe,Moore,CS112,D,63.8
student260@university.edu,Charlotte,Sanders,CS112,B,85.3
student261@university.edu,Josiah,Perry,CS112,B,89.5
student262@university.edu,Landon,Rivera,CS112,A,95.8
student263@university.edu,Sofia,Torres,CS112,D,73.1
student264@university.edu,Emily,Mitchell,CS112,C,77.5
student265@university.edu,Lillian,Parker,CS112,F,56.3
student266@university.edu,Lucas,Long,CS112,F,58.8
student267@university.edu,Connor,Sanders,CS112,D,73.7
student268@university.edu,Jonathan,Collins,CS112,D,61.1
student269@university.edu,Brooklyn,White,CS112,A,94.7
student270@university.edu,Zoe,Harris,CS112,D,74.7
student271@university.edu,Avery,Perry,CS112,B,86.5
student272@university.edu,Mila,Stewart,CS113,C,84.5
student273@university.edu,Josiah,Hill,CS113,A,94.9
student274@university.edu,Chloe,Perez,CS113,A,99.3
student275@university.edu,Stella,Rogers,CS113,B,88.0
student276@university.edu,Michael,Gibson,CS113,F,55.4
student277@university.edu,Camila,Harris,CS113,F,55.8
student278@university.edu,Gabriel,Hughes,CS113,B,92.1
student279@university.edu,Camila,Gomez,CS113,C,77.2
student280@university.edu,Harper,Rogers,CS113,A,97.1
student281@university.edu,Avery,Torres,CS113,D,66.1
student282@university.edu,Hannah,Flores,CS113,F,58.6
student283@university.edu,Andrew,Bennett,CS113,F,55.7
student284@university.edu,Amelia,Cruz,CS113,D,64.1
student285@university.edu,Sophia,Flores,CS113,D,72.7
student286@university.edu,Chloe,Rodriguez,CS113,F,59.4
student287@university.edu,Evelyn,Smith,CS113,D,70.2
student288@university.edu,Addison,Robinson,CS113,A,99.0
student289@university.edu,Henry,Robinson,CS113,C,82.7
student290@university.edu,Sebastian,Williams,CS113,D,69.1
student291@university.edu,Gabriel,Patterson,CS113,F,57.5
student292@university.edu,Elijah,Cole,CS114,D,62.1
student293@university.edu,Jayden,Ross,CS114,D,73.0
student294@university.edu,Ethan,Robinson,CS114,A,95.8
student295@university.edu,Liam,Harris,CS114,F,55.4
student296@university.edu,Jonathan,Rodriguez,CS114,C,80.6
student297@university.edu,Ava,Lewis,CS114,D,60.6
student298@university.edu,Samantha,Hill,CS114,A,98.1
student299@university.edu,Gabriel,Sanchez,CS114,D,61.6
student300@university.edu,Julian,Cruz,CS114,D,73.1
student301@university.edu,Sebastian,Bennett,CS114,A,96.1
student302@university.edu,Luke,Sanders,CS114,D,62.3
student303@university.edu,Isabella,Carter,CS114,A,98.9
student304@university.edu,Savannah,Bennett,CS114,C,79.7
student305@university.edu,James,Walker,CS114,A,96.0
student306@university.edu,Allison,Perry,CS114,D,62.7
student307@university.edu,Lillian,Reed,CS114,F,57.8
student308@university.edu,Stella,Gibson,CS114,A,97.4
student309@university.edu,Layla,Baker,CS114,B,88.5
student310@university.edu,Alexander,Mitchell,CS114,A,97.0
student311@university.edu,Caleb,Baker,CS114,A,100.0
student312@university.edu,Mila,Williams,CS114,D,64.8
student313@university.edu,Samuel,Gomez,CS114,D,68.6
student314@university.edu,Dylan,Wilson,CS115,D,62.7
student315@university.edu,Gabriel,Green,CS115,A,97.1
student316@university.edu,Thomas,Barnes,CS115,F,55.8
student317@university.edu,Samuel,Green,CS115,B,85.1
student318@university.edu,Stella,Rivera,CS115,F,59.3
student319@university.edu,Riley,Flores,CS115,D,65.0
student320@university.edu,Jackson,Wilson,CS115,F,58.5
student321@university.edu,Caleb,Russell,CS115,D,72.8
student322@university.edu,Christopher,Graham,CS115,B,88.5
student323@university.edu,Josiah,Walker,CS115,D,70.7
student324@university.edu,Chloe,Long,CS115,D,64.8
student325@university.edu,Ryan,Perry,CS115,D,69.2
student326@university.edu,Hannah,White,CS115,A,98.7
student327@university.edu,Chloe,Carter,CS115,B,89.2
student328@university.edu,Jackson,Graham,CS115,F,55.6
student329@university.edu,Zoe,Long,CS115,F,56.4
student330@university.edu,Jonathan,Gray,CS115,C,78.1
student331@university.edu,Avery,Morgan,CS115,F,58.2
student332@university.edu,Alexander,Turner,CS115,A,98.3
student333@university.edu,Violet,Wright,CS115,A,95.7
student334@university.edu,Amelia,Gray,CS116,D,72.2
student335@university.edu,Claire,Miller,CS116,B,87.8
student336@university.edu,Addison,Baker,CS116,D,60.7
student337@university.edu,Mia,Rogers,CS116,D,72.7
student338@university.edu,Grace,Perry,CS116,F,57.4
student339@university.edu,Elizabeth,Sanchez,CS116,D,68.7
student340@university.edu,Sophia,Walker,CS116,B,86.8
student341@university.edu,Josiah,Foster,CS116,F,57.0
student342@university.edu,David,Evans,CS116,D,65.4
student343@university.edu,Mason,Fox,CS116,D,73.0
student344@university.edu,Grace,Parker,CS116,C,82.0
student345@university.edu,Ella,Cooper,CS116,F,55.3
student346@university.edu,Lincoln,Allen,CS116,F,59.7
student347@university.edu,Jack,Miller,CS116,A,98.7
student348@university.edu,Audrey,Mitchell,CS116,B,88.7
student349@university.edu,Sofia,Cooper,CS116,B,91.5
student350@university.edu,Joshua,Robinson,CS116,A,93.7
student351@university.edu,Sophia,Baker,CS116,D,65.9
student352@university.edu,Connor,Peterson,CS116,F,58.1
student353@university.edu,Nora,Brown,CS116,D,67.6
student354@university.edu,Allison,Barnes,CS117,D,71.4
student355@university.edu,Logan,Hughes,CS117,D,66.9
student356@university.edu,Noah,Perez,CS117,B,89.9
student357@university.edu,Lily,Price,CS117,C,77.4
student358@university.edu,Zoey,Smith,CS117,B,87.8
student359@university.edu,Landon,Rogers,CS117,F,57.8
student360@university.edu,Scarlett,Garcia,CS117,D,63.6
student361@university.edu,Olivia,Torres,CS117,F,58.8
student362@university.edu,Eleanor,Lewis,CS117,B,86.6
student363@university.edu,Josiah,Cooper,CS117,F,57.0
student364@university.edu,Michael,Perez,CS117,A,98.7
student365@university.edu,Penelope,Rivera,CS117,D,69.0
student366@university.edu,Eleanor,Cruz,CS117,C,79.4
student367@university.edu,Natalie,Parker,CS117,B,90.5
student368@university.edu,Hannah,Campbell,CS117,D,64.6
student369@university.edu,Samantha,Perez,CS117,D,69.5
student370@university.edu,Connor,Bennett,CS117,C,76.8
student371@university.edu,Asher,Foster,CS117,F,55.1
student372@university.edu,Josiah,Torres,CS117,C,79.3
student373@university.edu,Gabriel,Sanchez,CS117,A,93.8
student374@university.edu,Audrey,Flores,CS117,B,88.6
student375@university.edu,Ellie,Torres,CS117,C,80.5
student376@university.edu,Jonathan,Long,CS118,A,93.4
student377@university.edu,Michael,Peterson,CS118,D,65.8
student378@university.edu,Stella,Moore,CS118,D,69.6
student379@university.edu,David,White,CS118,D,65.3
student380@university.edu,Aubrey,Robinson,CS118,D,62.9
student381@university.edu,Alexa,Thompson,CS118,A,99.9
student382@university.edu,Stella,Green,CS118,D,65.0
student383@university.edu,Hannah,King,CS118,D,74.3
student384@university.edu,Christian,Torres,CS118,C,80.9
student385@university.edu,Charles,Scott,CS118,C,84.9
student386@university.edu,Emily,Diaz,CS118,B,86.3
student387@university.edu,Ava,Murphy,CS118,F,56.2
student388@university.edu,Lily,Ross,CS118,A,96.5
student389@university.edu,Paisley,Russell,CS118,A,98.5
student390@university.edu,Lincoln,Collins,CS118,C,80.9
student391@university.edu,Carter,Anderson,CS118,B,89.2
student392@university.edu,Harper,Jones,CS118,D,60.1
student393@university.edu,Emma,White,CS118,D,73.0
student394@university.edu,Mason,Young,CS118,D,67.3
student395@university.edu,William,Anderson,CS118,B,89.3
student396@university.edu,Jonathan,Gonzalez,CS118,D,67.1
student397@university.edu,Carter,Torres,CS119,D,71.7
student398@university.edu,Jack,Rivera,CS119,D,69.0
student399@university.edu,Skylar,Young,CS119,A,99.1
student400@university.edu,Camila,Williams,CS119,A,99.3
student401@university.edu,Carter,Young,CS119,D,62.0
student402@university.edu,Henry,Bell,CS119,B,92.5
student403@university.edu,Logan,Walker,CS119,D,62.9
student404@university.edu,Julian,Carter,CS119,C,76.0
student405@university.edu,Zoe,Gonzalez,CS119,D,74.6
student406@university.edu,Isaiah,Wilson,CS119,D,65.6
student407@university.edu,Elizabeth,Evans,CS119,B,88.4
student408@university.edu,Aubrey,Reed,CS119,C,84.5
student409@university.edu,Eli,Martin,CS119,A,97.6
student410@university.edu,Aiden,Walker,CS119,F,57.5
student411@university.edu,Julian,Thompson,CS119,B,85.9
student412@university.edu,Connor,Rogers,CS119,D,70.8
student413@university.edu,Gabriel,Sanchez,CS119,D,67.1
student414@university.edu,Noah,Howard,CS119,D,63.3
student415@university.edu,Elizabeth,Ward,CS119,C,83.4
student416@university.edu,Wyatt,Bell,CS119,C,83.8
student417@university.edu,Jacob,Smith,CS120,B,89.3
student418@university.edu,Emma,Bell,CS120,F,56.0
student419@university.edu,Addison,Edwards,CS120,D,74.0
student420@university.edu,Lucas,Jones,CS120,D,73.0
student421@university.edu,Logan,Anderson,CS120,B,87.2
student422@university.edu,Alexander,Martin,CS120,C,84.1
student423@university.edu,Joshua,Price,CS120,C,76.0
student424@university.edu,Henry,Clark,CS120,D,63.0
student425@university.edu,Samantha,Long,CS120,B,89.9
student426@university.edu,Skylar,Taylor,CS120,C,79.8
student427@university.edu,Christopher,Ward,CS120,D,68.5
student428@university.edu,Lincoln,Hill,CS120,D,74.5
student429@university.edu,Henry,Walker,CS120,F,56.4
student430@university.edu,Ryan,Chapman,CS120,B,90.3
student431@university.edu,Leo,Lewis,CS120,C,83.6
student432@university.edu,Henry,Green,CS120,D,60.4
student433@university.edu,Julian,Cox,CS120,D,74.4
student434@university.edu,Owen,Gray,CS120,A,99.7
student435@university.edu,Liam,Reed,CS120,D,71.5
student436@university.edu,Lillian,Rivera,CS120,D,60.8
student437@university.edu,Hannah,Scott,CS120,A,99.6
student438@university.edu,Aubrey,James,CS120,D,69.4
student439@university.edu,Emily,King,CS121,B,87.8
student440@university.edu,Alexander,Thompson,CS121,B,90.6
student441@university.edu,Mia,Carter,CS121,B,89.7
student442@university.edu,Luke,Cooper,CS121,A,97.3
student443@university.edu,Harper,Young,CS121,D,63.7
student444@university.edu,Brooklyn,Rivera,CS121,B,88.2
student445@university.edu,Christopher,Stewart,CS121,F,56.1
student446@university.edu,Jayden,Powell,CS121,A,99.2
student447@university.edu,Chloe,Kelly,CS121,C,75.4
student448@university.edu,Penelope,White,CS121,D,61.5
student449@university.edu,Christopher,Cox,CS121,C,84.1
student450@university.edu,Olivia,Robinson,CS121,D,72.1
student451@university.edu,Hunter,Watson,CS121,F,57.3
student452@university.edu,Harper,Williams,CS121,D,74.8
student453@university.edu,Josiah,Smith,CS121,D,65.9
student454@university.edu,Noah,Wilson,CS121,D,74.3
student455@university.edu,Thomas,Flores,CS121,B,90.2
student456@university.edu,Aubrey,Smith,CS121,A,93.7
student457@university.edu,Violet,Ford,CS121,F,58.7
student458@university.edu,Sofia,Cooper,CS121,B,89.3
student459@university.edu,Claire,Morris,CS122,D,65.9
student460@university.edu,Benjamin,Morris,CS122,C,82.0
student461@university.edu,Matthew,Watson,CS122,D,68.5
student462@university.edu,Victoria,Edwards,CS122,F,56.5
student463@university.edu,Christian,Jones,CS122,D,60.0
student464@university.edu,Lillian,Collins,CS122,B,91.2
student465@university.edu,Amelia,Cruz,CS122,A,96.2
student466@university.edu,Elizabeth,Patterson,CS122,D,65.1
student467@university.edu,Chloe,Phillips,CS122,B,89.6
student468@university.edu,Isabella,Johnson,CS122,B,89.1
student469@university.edu,Allison,Reynolds,CS122,F,56.5
student470@university.edu,Matthew,Ross,CS122,C,76.9
student471@university.edu,Gabriel,Gomez,CS122,A,96.7
student472@university.edu,Lucas,Harris,CS122,B,89.4
student473@university.edu,Logan,Diaz,CS122,C,75.0
student474@university.edu,Isabella,Reed,CS122,D,61.2
student475@university.edu,Thomas,Collins,CS122,D,69.9
student476@university.edu,Benjamin,Williams,CS122,B,85.1
student477@university.edu,Daniel,Rodriguez,CS122,D,63.7
student478@university.edu,Landon,Russell,CS122,A,98.1
student479@university.edu,Samantha,Rivera,CS123,C,76.6
student480@university.edu,Olivia,Phillips,CS123,D,72.5
student481@university.edu,Mila,Nelson,CS123,D,61.3
student482@university.edu,Alexander,Watson,CS123,D,64.9
student483@university.edu,Mia,Robinson,CS123,C,83.2
student484@university.edu,Benjamin,Fox,CS123,D,74.2
student485@university.edu,Ella,Watson,CS123,C,75.2
student486@university.edu,Christopher,Stewart,CS123,D,68.7
student487@university.edu,James,White,CS123,A,99.1
student488@university.edu,Jayden,Butler,CS123,B,91.9
student489@university.edu,Owen,Freeman,CS123,D,63.9
student490@university.edu,Scarlett,Howard,CS123,C,76.7
student491@university.edu,Aria,Dixon,CS123,D,62.8
student492@university.edu,Aria,Foster,CS123,C,84.1
student493@university.edu,Samuel,Diaz,CS123,D,70.4
student494@university.edu,Leah,White,CS123,C,78.0
student495@university.edu,Ryan,Cooper,CS123,C,80.9
student496@university.edu,Riley,Fox,CS123,C,83.9
student497@university.edu,Josiah,Graham,CS123,D,74.7
student498@university.edu,Wyatt,Edwards,CS123,B,92.6
student499@university.edu,Paisley,Ford,CS124,B,92.3
student500@university.edu,Natalie,Bryant,CS124,D,71.7
student501@university.edu,Eleanor,Powell,CS124,D,63.4
student502@university.edu,Jack,Thomas,CS124,D,61.4
student503@university.edu,Zoe,Collins,CS124,A,94.3
student504@university.edu,Eleanor,Martinez,CS124,B,87.5
student505@university.edu,Lincoln,Freeman,CS124,F,58.3
student506@university.edu,Alexa,Thomas,CS124,C,83.1
student507@university.edu,Ella,Green,CS124,D,61.7
student508@university.edu,Amelia,Murphy,CS124,C,83.1
student509@university.edu,Evelyn,Gonzalez,CS124,B,89.3
student510@university.edu,Amelia,Davis,CS124,F,57.5
student511@university.edu,Victoria,Campbell,CS124,A,93.3
student512@university.edu,Isabella,Ford,CS124,D,62.5
student513@university.edu,Ryan,Martinez,CS124,C,75.8
student514@university.edu,Connor,Graham,CS124,D,73.5
student515@university.edu,Josiah,Hill,CS124,B,90.1
